iter	Passed	Remaining
331	802	1615
332	804	1611
333	806	1608
334	808	1604
335	810	1601
336	812	1597
337	813	1593
338	815	1590
339	817	1587
340	819	1583
341	821	1580
342	823	1576
343	825	1573
344	826	1570
345	828	1566
346	830	1563
347	832	1559
348	834	1556
349	836	1552
350	838	1549
351	839	1545
352	841	1542
353	843	1539
354	845	1535
355	847	1532
356	848	1529
357	850	1525
358	852	1522
359	854	1518
360	856	1515
361	858	1512
362	859	1508
363	861	1505
364	863	1502
365	865	1499
366	867	1496
367	869	1492
368	871	1489
369	872	1486
370	874	1483
371	876	1479
372	878	1476
373	880	1473
374	882	1470
375	883	1466
376	885	1463
377	887	1460
378	889	1457
379	891	1453
380	892	1450
381	894	1447
382	896	1444
383	898	1441
384	900	1438
385	902	1434
386	903	1431
387	905	1428
388	907	1425
389	909	1422
390	911	1419
391	913	1416
392	915	1413
393	916	1410
394	918	1407
395	920	1403
396	922	1400
397	926	1400
398	927	1397
399	929	1394
400	931	1391
401	933	1388
402	935	1385
403	937	1382
404	939	1379
405	940	1376
406	942	1373
407	944	1370
408	946	1367
409	948	1364
410	949	1361
411	951	1358
412	953	1355
413	955	1352
414	957	1349
415	958	1346
416	960	1343
417	962	1340
418	964	1337
419	966	1334
420	968	1331
421	969	1328
422	971	1325
423	973	1322
424	975	1319
425	977	1316
426	978	1313
427	980	1310
428	982	1307
429	984	1304
430	986	1301
431	988	1299
432	989	1296
433	991	1293
434	993	1290
435	995	1287
436	996	1284
437	998	1281
438	1000	1278
439	1002	1275
440	1004	1273
441	1006	1270
442	1008	1267
443	1009	1264
444	1011	1261
445	1013	1259
446	1015	1256
447	1017	1253
448	1019	1250
449	1020	1247
450	1022	1245
451	1024	1242
452	1026	1239
